\sortInfo = ASC,scan_id,frame_num,band
|in_row_id|in_ra             |in_dec            |band  |crval1          |crval2         |ra1             |dec1           |ra2             |dec2           |ra3             |dec3           |ra4             |dec4           |magzp   |magzpunc|modeint  |scan_id|scangrp|frame_num|date_obs               |mjd_obs       |dtanneal         |utanneal               |exptime|debgain|febgain|moon_sep|saa_sep|qual_frame|qual_scan|
|long     |double            |double            |i     |double          |double         |double          |double         |double          |double         |double          |double         |double          |double         |double  |double  |double   |char   |char   |int      |char                   |double        |double           |char                   |double |double |double |double  |double |int       |int      |
|         |deg               |deg               |      |deg             |deg            |deg             |deg            |deg             |deg            |deg             |deg            |deg             |deg            |mag     |mag     |DN       |       |       |         |                       |yr            |s                |                       |s      |e-/DEB ADU|e-/SUR ADU|deg     |deg    |          |         |
|         |                  |                  |null  |null            |null           |null            |null           |null            |null           |null            |null           |null            |null           |null    |null    |null     |null   |null   |null     |null                   |null          |null             |null                   |null   |null   |null   |null    |null   |null      |null     |
         1 148.88822000000000 69.065290000000000      3 148.300736049763 69.011133187018 147.976092217920 69.550914009059 149.810629128420 69.116625659631 148.605267308555 68.474083474654 146.798271831449 68.893711644908 17.80000 0.012000  1230.672  03630a      0a       231 2010-04-13 15:56:31.872 55299.66425778 11471.51778507230 2010-04-13 12:45:20.354     8.8   6.830 12.8300   96.687  80.559         10         5
         1 148.88822000000000 69.065290000000000      4 148.304212870919 69.011622708590 147.967054089215 69.553997748106 149.816207413396 69.124193356149 148.619830141994 68.473016743315 146.799817591470 68.887715191525 12.94500 0.012000   407.529  03630a      0a       231 2010-04-13 15:56:31.872 55299.66425778 11471.51778507230 2010-04-13 12:45:20.354     8.8   4.730  8.8600   96.687  80.559         10         5
         1 148.88822000000000 69.065290000000000      1 148.245752790248 69.407423562671 147.903905852407 69.945100890348 149.777624802474 69.514000607971 148.567139711977 68.871935937657 146.720286964161 69.288733594075 20.75200 0.006000    13.091  03633a      3a       208 2010-04-13 17:31:52.909 55299.73047348 17192.55489748720 2010-04-13 12:45:20.354     7.7   3.750  5.7400   95.880  78.493         10         5
         1 148.88822000000000 69.065290000000000      2 148.245101607687 69.406918456731 147.904856841706 69.946314876443 149.783972354933 69.509752763613 148.565294665771 68.869858057223 146.712628513685 69.291693996936 19.59600 0.007000    28.546  03633a      3a       208 2010-04-13 17:31:52.909 55299.73047348 17192.55489748720 2010-04-13 12:45:20.354     7.7   4.600  6.8600   95.880  78.493         10         5
         1 148.88822000000000 69.065290000000000      3 148.243841161050 69.406458193481 147.919587084135 69.946709843227 149.782729511736 69.509570314941 148.547626544715 68.868955571368 146.712554701367 69.291127533175 17.80000 0.012000  1221.598  03633a      3a       208 2010-04-13 17:31:52.909 55299.73047348 17192.55489748720 2010-04-13 12:45:20.354     8.8   6.830 12.8300   95.880  78.493         10         5
         1 148.88822000000000 69.065290000000000      4 148.247387505342 69.406942527360 147.910413352903 69.949806428709 149.788510867097 69.517129294994 148.562438258067 68.867866817939 146.714068126580 69.285128391379 12.94500 0.012000   406.343  03633a      3a       208 2010-04-13 17:31:52.909 55299.73047348 17192.55489748720 2010-04-13 12:45:20.354     8.8   4.730  8.8600   95.880  78.493         10         5
         1 148.88822000000000 69.065290000000000      1 148.442518713227 68.928587842631 148.102732821636 69.465831892163 149.939898445396 69.037293849078 148.762411136294 68.393523329530 146.951257718527 68.808110207006 20.75200 0.006000    12.617  03634a      4a       231 2010-04-13 19:07:02.946 55299.79656187 22902.59193068740 2010-04-13 12:45:20.354     7.7   3.750  5.7400   95.777  78.714         10         5
         1 148.88822000000000 69.065290000000000      2 148.441886807244 68.928081904460 148.103649575077 69.467046997522 149.946158670305 69.033055751658 148.760626362036 68.391443052645 146.943740797886 68.811062267546 19.59600 0.007000    28.828  03634a      4a       231 2010-04-13 19:07:02.946 55299.79656187 22902.59193068740 2010-04-13 12:45:20.354     7.7   4.600  6.8600   95.777  78.714         10         5
         1 148.88822000000000 69.065290000000000      3 148.440658421044 68.927620027050 148.118045284329 69.467460053008 149.944944895283 69.032871755399 148.743341307211 68.390517197675 146.943673501211 68.810495409558 17.80000 0.012000  1235.341  03634a      4a       231 2010-04-13 19:07:02.946 55299.79656187 22902.59193068740 2010-04-13 12:45:20.354     8.8   6.830 12.8300   95.777  78.714         10         5
         1 148.88822000000000 69.065290000000000      4 148.444122785429 68.928108908439 148.109047407680 69.470545489714 149.950510299744 69.040438522274 148.757848833024 68.389447934787 146.945203431468 68.804498730115 12.94500 0.012000   406.269  03634a      4a       231 2010-04-13 19:07:02.946 55299.79656187 22902.59193068740 2010-04-13 12:45:20.354     8.8   4.730  8.8600   95.777  78.714         10         5
